[losses_lo voc0.1 s0] FocalBCE@lr0.0003      last10 mAP=59.54 (5.9 min)
[losses_lo voc0.1 s0] ASL@lr0.0003           last10 mAP=61.19 (6.0 min)
[losses_lo voc0.1 s0] DBLoss@lr0.0003        last10 mAP=45.89 (5.9 min)
[losses_lo voc0.1 s1] FocalBCE@lr0.0003      last10 mAP=51.51 (5.6 min)
[losses_lo voc0.1 s1] ASL@lr0.0003           last10 mAP=56.76 (5.7 min)
[losses_lo voc0.1 s1] DBLoss@lr0.0003        last10 mAP=34.43 (5.6 min)
[losses_lo voc0.1 s2] FocalBCE@lr0.0003      last10 mAP=52.07 (5.4 min)
[losses_lo voc0.1 s2] ASL@lr0.0003           last10 mAP=56.66 (5.7 min)
[losses_lo voc0.1 s2] DBLoss@lr0.0003        last10 mAP=39.44 (5.7 min)
[losses_lo coco0.1 s0] FocalBCE@lr0.0003      last10 mAP=18.68 (4.9 min)
[losses_lo coco0.1 s0] ASL@lr0.0003           last10 mAP=14.83 (4.9 min)
[losses_lo coco0.1 s0] DBLoss@lr0.0003        last10 mAP= 9.46 (4.9 min)
[losses_lo coco0.1 s1] FocalBCE@lr0.0003      last10 mAP=16.19 (4.6 min)
[losses_lo coco0.1 s1] ASL@lr0.0003           last10 mAP=13.94 (4.7 min)
[losses_lo coco0.1 s1] DBLoss@lr0.0003        last10 mAP= 7.86 (4.9 min)
[losses_lo coco0.1 s2] FocalBCE@lr0.0003      last10 mAP=19.75 (4.8 min)
[losses_lo coco0.1 s2] ASL@lr0.0003           last10 mAP=15.68 (4.8 min)
[losses_lo coco0.1 s2] DBLoss@lr0.0003        last10 mAP=10.11 (4.9 min)
[losses_lo voc0.5 s0] FocalBCE@lr0.0003      last10 mAP=57.63 (5.5 min)
[losses_lo voc0.5 s0] ASL@lr0.0003           last10 mAP=58.94 (5.2 min)
[losses_lo voc0.5 s0] DBLoss@lr0.0003        last10 mAP=40.95 (5.3 min)
[losses_lo voc0.5 s1] FocalBCE@lr0.0003      last10 mAP=44.87 (5.5 min)
[losses_lo voc0.5 s1] ASL@lr0.0003           last10 mAP=49.92 (5.4 min)
[losses_lo voc0.5 s1] DBLoss@lr0.0003        last10 mAP=29.72 (5.3 min)
[losses_lo voc0.5 s2] FocalBCE@lr0.0003      last10 mAP=52.33 (5.4 min)
[losses_lo voc0.5 s2] ASL@lr0.0003           last10 mAP=55.25 (5.4 min)
[losses_lo voc0.5 s2] DBLoss@lr0.0003        last10 mAP=37.25 (5.3 min)
[losses_lo coco0.5 s0] FocalBCE@lr0.0003      last10 mAP=16.31 (4.6 min)
[losses_lo coco0.5 s0] ASL@lr0.0003           last10 mAP=13.23 (3.7 min)
[losses_lo coco0.5 s0] DBLoss@lr0.0003        last10 mAP= 8.30 (3.1 min)
[losses_lo coco0.5 s1] FocalBCE@lr0.0003      last10 mAP=16.70 (3.1 min)
[losses_lo coco0.5 s1] ASL@lr0.0003           last10 mAP=13.31 (3.1 min)
[losses_lo coco0.5 s1] DBLoss@lr0.0003        last10 mAP= 7.70 (3.1 min)
[losses_lo coco0.5 s2] FocalBCE@lr0.0003      last10 mAP=16.02 (2.9 min)
[losses_lo coco0.5 s2] ASL@lr0.0003           last10 mAP=12.73 (3.0 min)
[losses_lo coco0.5 s2] DBLoss@lr0.0003        last10 mAP= 8.05 (2.4 min)
REVISION_GROUP_DONE losses_lo
