[losses voc0.1 s0] FocalBCE@lr0.003       last10 mAP=63.62 (5.5 min)
[losses voc0.1 s0] ASL@lr0.003            last10 mAP=69.72 (5.7 min)
[losses voc0.1 s0] DBLoss@lr0.003         last10 mAP=42.64 (6.4 min)
[losses voc0.1 s0] WBCE@lr0.003           last10 mAP=66.81 (6.2 min)
[losses voc0.1 s0] FocalBCE@lr0.001       last10 mAP=64.30 (6.1 min)
[losses voc0.1 s0] ASL@lr0.001            last10 mAP=67.85 (6.2 min)
[losses voc0.1 s0] DBLoss@lr0.001         last10 mAP=50.85 (6.4 min)
[losses voc0.1 s0] WBCE@lr0.001           last10 mAP=63.44 (6.2 min)
[losses voc0.1 s0] FocalBCE@lr0.01        last10 mAP= 7.71 (6.2 min)
[losses voc0.1 s0] ASL@lr0.01             last10 mAP=52.97 (6.3 min)
[losses voc0.1 s0] DBLoss@lr0.01          last10 mAP= 7.71 (6.2 min)
[losses voc0.1 s0] WBCE@lr0.01            last10 mAP=65.90 (6.5 min)
[losses voc0.1 s1] FocalBCE@lr0.003       last10 mAP=40.26 (6.3 min)
[losses voc0.1 s1] ASL@lr0.003            last10 mAP=64.27 (6.0 min)
[losses voc0.1 s1] DBLoss@lr0.003         last10 mAP=23.85 (6.0 min)
[losses voc0.1 s1] WBCE@lr0.003           last10 mAP=66.59 (5.4 min)
[losses voc0.1 s1] FocalBCE@lr0.001       last10 mAP=53.48 (6.3 min)
[losses voc0.1 s1] ASL@lr0.001            last10 mAP=64.77 (6.2 min)
[losses voc0.1 s1] DBLoss@lr0.001         last10 mAP=37.01 (5.8 min)
[losses voc0.1 s1] WBCE@lr0.001           last10 mAP=62.92 (5.7 min)
[losses voc0.1 s1] FocalBCE@lr0.01        last10 mAP= 7.71 (5.7 min)
[losses voc0.1 s1] ASL@lr0.01             last10 mAP= 7.71 (5.7 min)
[losses voc0.1 s1] DBLoss@lr0.01          last10 mAP= 7.71 (5.9 min)
[losses voc0.1 s1] WBCE@lr0.01            last10 mAP=64.95 (7.0 min)
[losses voc0.1 s2] FocalBCE@lr0.003       last10 mAP=56.03 (6.8 min)
[losses voc0.1 s2] ASL@lr0.003            last10 mAP=67.79 (6.7 min)
[losses voc0.1 s2] DBLoss@lr0.003         last10 mAP=40.84 (6.6 min)
[losses voc0.1 s2] WBCE@lr0.003           last10 mAP=66.78 (6.3 min)
[losses voc0.1 s2] FocalBCE@lr0.001       last10 mAP=58.67 (6.9 min)
