[distill voc0.1 s0] BalBCE+KD@lr0.003      last10 mAP=69.05 (7.9 min)
[distill voc0.1 s0] FedPrior-bal@lr0.003   last10 mAP=68.72 (8.7 min)
[distill voc0.1 s0] FedProx-bal@lr0.003    last10 mAP=69.29 (6.4 min)
[distill voc0.1 s0] Focal+ND@lr0.003       last10 mAP=62.94 (8.5 min)
[distill voc0.1 s0] ASL+ND@lr0.003         last10 mAP=70.04 (9.2 min)
[distill voc0.1 s1] BalBCE+KD@lr0.003      last10 mAP=68.23 (8.5 min)
[distill voc0.1 s1] FedPrior-bal@lr0.003   last10 mAP=67.92 (8.3 min)
[distill voc0.1 s1] FedProx-bal@lr0.003    last10 mAP=68.79 (6.1 min)
[distill voc0.1 s1] Focal+ND@lr0.003       last10 mAP=39.61 (8.8 min)
[distill voc0.1 s1] ASL+ND@lr0.003         last10 mAP=63.42 (8.8 min)
[distill voc0.1 s2] BalBCE+KD@lr0.003      last10 mAP=68.89 (8.4 min)
[distill voc0.1 s2] FedPrior-bal@lr0.003   last10 mAP=67.93 (7.9 min)
[distill voc0.1 s2] FedProx-bal@lr0.003    last10 mAP=68.85 (6.3 min)
[distill voc0.1 s2] Focal+ND@lr0.003       last10 mAP=56.91 (8.6 min)
[distill voc0.1 s2] ASL+ND@lr0.003         last10 mAP=68.34 (8.2 min)
[distill coco0.1 s0] BalBCE+KD@lr0.003      last10 mAP=35.74 (7.3 min)
[distill coco0.1 s0] FedPrior-bal@lr0.003   last10 mAP=34.15 (7.3 min)
[distill coco0.1 s0] FedProx-bal@lr0.003    last10 mAP=35.72 (6.1 min)
[distill coco0.1 s0] Focal+ND@lr0.003       last10 mAP= 3.77 (8.9 min)
[distill coco0.1 s0] ASL+ND@lr0.003         last10 mAP=24.29 (8.9 min)
[distill coco0.1 s1] BalBCE+KD@lr0.003      last10 mAP=34.83 (8.6 min)
[distill coco0.1 s1] FedPrior-bal@lr0.003   last10 mAP=33.21 (8.8 min)
[distill coco0.1 s1] FedProx-bal@lr0.003    last10 mAP=34.60 (6.2 min)
[distill coco0.1 s1] Focal+ND@lr0.003       last10 mAP= 3.77 (8.6 min)
[distill coco0.1 s1] ASL+ND@lr0.003         last10 mAP=14.47 (8.5 min)
[distill coco0.1 s2] BalBCE+KD@lr0.003      last10 mAP=37.02 (8.5 min)
[distill coco0.1 s2] FedPrior-bal@lr0.003   last10 mAP=35.76 (8.3 min)
[distill coco0.1 s2] FedProx-bal@lr0.003    last10 mAP=37.04 (5.9 min)
[distill coco0.1 s2] Focal+ND@lr0.003       last10 mAP=19.32 (8.1 min)
[distill coco0.1 s2] ASL+ND@lr0.003         last10 mAP=22.85 (8.3 min)
[distill voc0.5 s0] BalBCE+KD@lr0.003      last10 mAP=72.07 (9.0 min)
[distill voc0.5 s0] FedPrior-bal@lr0.003   last10 mAP=71.71 (8.1 min)
[distill voc0.5 s0] FedProx-bal@lr0.003    last10 mAP=72.03 (6.2 min)
[distill voc0.5 s0] Focal+ND@lr0.003       last10 mAP=57.32 (8.1 min)
[distill voc0.5 s0] ASL+ND@lr0.003         last10 mAP=71.43 (8.1 min)
[distill voc0.5 s1] BalBCE+KD@lr0.003      last10 mAP=71.38 (8.5 min)
[distill voc0.5 s1] FedPrior-bal@lr0.003   last10 mAP=70.88 (8.5 min)
[distill voc0.5 s1] FedProx-bal@lr0.003    last10 mAP=71.33 (6.1 min)
[distill voc0.5 s1] Focal+ND@lr0.003       last10 mAP=42.21 (8.1 min)
[distill voc0.5 s1] ASL+ND@lr0.003         last10 mAP=63.83 (9.1 min)
[distill voc0.5 s2] BalBCE+KD@lr0.003      last10 mAP=71.92 (8.8 min)
[distill voc0.5 s2] FedPrior-bal@lr0.003   last10 mAP=71.49 (8.9 min)
[distill voc0.5 s2] FedProx-bal@lr0.003    last10 mAP=71.75 (6.5 min)
[distill voc0.5 s2] Focal+ND@lr0.003       last10 mAP=46.62 (8.8 min)
[distill voc0.5 s2] ASL+ND@lr0.003         last10 mAP=70.02 (8.9 min)
[distill coco0.5 s0] BalBCE+KD@lr0.003      last10 mAP=37.06 (7.8 min)
[distill coco0.5 s0] FedPrior-bal@lr0.003   last10 mAP=35.79 (7.9 min)
[distill coco0.5 s0] FedProx-bal@lr0.003    last10 mAP=37.11 (5.5 min)
[distill coco0.5 s0] Focal+ND@lr0.003       last10 mAP= 3.77 (8.6 min)
