[margin voc0.1 s0] FedAvg@lr0.01          last10 mAP=19.45 (6.4 min)
[margin voc0.1 s0] FedNTD@lr0.01          last10 mAP= 8.92 (8.4 min)
[margin voc0.1 s0] FedND-std@lr0.01       last10 mAP=22.69 (9.3 min)
[margin voc0.1 s0] FedNTD-BCE@lr0.01      last10 mAP=22.68 (9.1 min)
[margin voc0.1 s0] FedPrior@lr0.01        last10 mAP=19.87 (9.7 min)
[margin voc0.1 s1] FedAvg@lr0.01          last10 mAP=16.71 (7.4 min)
[margin voc0.1 s1] FedNTD@lr0.01          last10 mAP= 8.18 (9.3 min)
[margin voc0.1 s1] FedND-std@lr0.01       last10 mAP=20.11 (9.6 min)
[margin voc0.1 s1] FedNTD-BCE@lr0.01      last10 mAP=19.60 (9.9 min)
[margin voc0.1 s1] FedPrior@lr0.01        last10 mAP=17.11 (9.6 min)
[margin voc0.1 s2] FedAvg@lr0.01          last10 mAP=15.81 (7.5 min)
[margin voc0.1 s2] FedNTD@lr0.01          last10 mAP= 7.90 (9.3 min)
[margin voc0.1 s2] FedND-std@lr0.01       last10 mAP=19.97 (9.5 min)
[margin voc0.1 s2] FedNTD-BCE@lr0.01      last10 mAP=19.71 (9.1 min)
[margin voc0.1 s2] FedPrior@lr0.01        last10 mAP=16.40 (9.2 min)
REVISION_GROUP_DONE margin
[res224 coco0.1 s0] FedAvg@lr0.003         last10 mAP=15.58 (7.8 min)
[res224 coco0.1 s0] BalBCE@lr0.003         last10 mAP=40.89 (11.2 min)
[res224 coco0.1 s0] FedNTD-BCE@lr0.003     last10 mAP=41.30 (10.9 min)
[res224 coco0.1 s0] FedNTD@lr0.003         last10 mAP= 9.11 (10.8 min)
[res224 coco0.1 s0] FedMLP@lr0.003         last10 mAP=14.88 (11.2 min)
[res224 coco0.1 s0] FedPrior@lr0.003       last10 mAP=15.14 (10.8 min)
[res224 coco0.1 s1] FedAvg@lr0.003         last10 mAP=14.35 (8.0 min)
[res224 coco0.1 s1] BalBCE@lr0.003         last10 mAP=40.30 (10.5 min)
[res224 coco0.1 s1] FedNTD-BCE@lr0.003     last10 mAP=40.41 (10.8 min)
[res224 coco0.1 s1] FedNTD@lr0.003         last10 mAP= 9.37 (10.2 min)
[res224 coco0.1 s1] FedMLP@lr0.003         last10 mAP=13.44 (10.4 min)
[res224 coco0.1 s1] FedPrior@lr0.003       last10 mAP=13.67 (9.7 min)
[res224 coco0.1 s2] FedAvg@lr0.003         last10 mAP=14.94 (7.2 min)
[res224 coco0.1 s2] BalBCE@lr0.003         last10 mAP=40.76 (9.2 min)
[res224 coco0.1 s2] FedNTD-BCE@lr0.003     last10 mAP=41.29 (9.3 min)
[res224 coco0.1 s2] FedNTD@lr0.003         last10 mAP= 8.43 (9.9 min)
[res224 coco0.1 s2] FedMLP@lr0.003         last10 mAP=14.76 (9.6 min)
[res224 coco0.1 s2] FedPrior@lr0.003       last10 mAP=14.52 (9.4 min)
[res224 voc0.1 s0] FedAvg@lr0.003         last10 mAP=71.77 (9.6 min)
[res224 voc0.1 s0] BalBCE@lr0.003         last10 mAP=78.15 (12.2 min)
[res224 voc0.1 s0] FedNTD-BCE@lr0.003     last10 mAP=77.68 (12.3 min)
[res224 voc0.1 s0] FedNTD@lr0.003         last10 mAP=34.68 (12.0 min)
[res224 voc0.1 s0] FedMLP@lr0.003         last10 mAP=70.07 (11.9 min)
[res224 voc0.1 s0] FedPrior@lr0.003       last10 mAP=70.40 (12.1 min)
[res224 voc0.1 s1] FedAvg@lr0.003         last10 mAP=70.57 (9.8 min)
[res224 voc0.1 s1] BalBCE@lr0.003         last10 mAP=77.43 (11.8 min)
[res224 voc0.1 s1] FedNTD-BCE@lr0.003     last10 mAP=76.87 (11.4 min)
[res224 voc0.1 s1] FedNTD@lr0.003         last10 mAP=33.56 (11.7 min)
[res224 voc0.1 s1] FedMLP@lr0.003         last10 mAP=68.45 (11.7 min)
[res224 voc0.1 s1] FedPrior@lr0.003       last10 mAP=69.46 (11.9 min)
[res224 voc0.1 s2] FedAvg@lr0.003         last10 mAP=64.59 (9.4 min)
[res224 voc0.1 s2] BalBCE@lr0.003         last10 mAP=77.32 (11.8 min)
[res224 voc0.1 s2] FedNTD-BCE@lr0.003     last10 mAP=77.10 (11.7 min)
[res224 voc0.1 s2] FedNTD@lr0.003         last10 mAP=36.00 (10.2 min)
[res224 voc0.1 s2] FedMLP@lr0.003         last10 mAP=66.18 (9.8 min)
[res224 voc0.1 s2] FedPrior@lr0.003       last10 mAP=65.38 (10.2 min)
REVISION_GROUP_DONE res224
