[cnx_lr voc0.1 s0] FedAvg@lr0.1           last10 mAP=80.67 (15.5 min)
[cnx_lr voc0.1 s0] BalBCE@lr0.1           last10 mAP=53.76 (20.1 min)
REVISION_GROUP_DONE cnx_lr
ConvNeXt LR chosen by FedAvg best: 0.03
[cnx voc0.1 s0] FedAvg@lr0.03          last10 mAP=82.60 (15.3 min)
[cnx voc0.1 s0] BalBCE@lr0.03          last10 mAP=82.39 (19.5 min)
[cnx voc0.1 s0] FedNTD-BCE@lr0.03      last10 mAP=83.37 (19.4 min)
[cnx voc0.1 s0] FedNTD@lr0.03          last10 mAP=60.51 (19.1 min)
[cnx voc0.1 s0] FedMLP@lr0.03          last10 mAP=81.59 (18.0 min)
[cnx voc0.1 s0] FedPrior@lr0.03        last10 mAP=82.35 (17.6 min)
[cnx voc0.1 s1] FedAvg@lr0.03          last10 mAP=80.68 (12.8 min)
[cnx voc0.1 s1] BalBCE@lr0.03          last10 mAP=82.10 (16.4 min)
[cnx voc0.1 s1] FedNTD-BCE@lr0.03      last10 mAP=83.00 (17.5 min)
[cnx voc0.1 s1] FedNTD@lr0.03          last10 mAP=52.10 (17.7 min)
[cnx voc0.1 s1] FedMLP@lr0.03          last10 mAP=81.59 (17.4 min)
[cnx voc0.1 s1] FedPrior@lr0.03        last10 mAP=81.87 (17.5 min)
[cnx voc0.1 s2] FedAvg@lr0.03          last10 mAP=80.20 (13.6 min)
[cnx voc0.1 s2] BalBCE@lr0.03          last10 mAP=79.79 (16.6 min)
[cnx voc0.1 s2] FedNTD-BCE@lr0.03      last10 mAP=83.22 (16.9 min)
[cnx voc0.1 s2] FedNTD@lr0.03          last10 mAP= 9.63 (17.1 min)
[cnx voc0.1 s2] FedMLP@lr0.03          last10 mAP=80.45 (17.2 min)
[cnx voc0.1 s2] FedPrior@lr0.03        last10 mAP=78.27 (17.6 min)
[cnx coco0.1 s0] FedAvg@lr0.03          last10 mAP=17.77 (10.4 min)
[cnx coco0.1 s0] BalBCE@lr0.03          last10 mAP=53.88 (13.5 min)
[cnx coco0.1 s0] FedNTD-BCE@lr0.03      last10 mAP=55.90 (12.6 min)
[cnx coco0.1 s0] FedNTD@lr0.03          last10 mAP=12.08 (10.1 min)
[cnx coco0.1 s0] FedMLP@lr0.03          last10 mAP=19.05 (9.7 min)
[cnx coco0.1 s0] FedPrior@lr0.03        last10 mAP=15.49 (9.9 min)
[cnx coco0.1 s1] FedAvg@lr0.03          last10 mAP=13.76 (7.2 min)
[cnx coco0.1 s1] BalBCE@lr0.03          last10 mAP=54.20 (10.7 min)
[cnx coco0.1 s1] FedNTD-BCE@lr0.03      last10 mAP=56.46 (14.0 min)
[cnx coco0.1 s1] FedNTD@lr0.03          last10 mAP=11.31 (14.1 min)
[cnx coco0.1 s1] FedMLP@lr0.03          last10 mAP=18.92 (13.7 min)
[cnx coco0.1 s1] FedPrior@lr0.03        last10 mAP=12.16 (13.5 min)
[cnx coco0.1 s2] FedAvg@lr0.03          last10 mAP=21.16 (9.5 min)
[cnx coco0.1 s2] BalBCE@lr0.03          last10 mAP=54.53 (12.9 min)
[cnx coco0.1 s2] FedNTD-BCE@lr0.03      last10 mAP=55.85 (13.1 min)
[cnx coco0.1 s2] FedNTD@lr0.03          last10 mAP=11.07 (13.2 min)
[cnx coco0.1 s2] FedMLP@lr0.03          last10 mAP=23.64 (13.7 min)
[cnx coco0.1 s2] FedPrior@lr0.03        last10 mAP=19.00 (13.8 min)
REVISION_GROUP_DONE cnx
