[flair flair s0] FedAvg@lr0.003         last10 mAP=39.39 (6.0 min)
[flair flair s0] BalBCE@lr0.003         last10 mAP=43.94 (8.8 min)
[flair flair s0] FedNTD-BCE@lr0.003     last10 mAP=44.15 (8.8 min)
[flair flair s0] FedNTD@lr0.003         last10 mAP=28.17 (9.2 min)
[flair flair s0] FedMLP@lr0.003         last10 mAP=40.34 (8.8 min)
[flair flair s0] FedPrior@lr0.003       last10 mAP=39.52 (8.8 min)
[flair flair s0] FedND-std@lr0.003      last10 mAP=40.24 (9.2 min)
[flair flair s0] FLAG@lr0.003           last10 mAP=38.71 (6.2 min)
[flair flair s0] ASL@lr0.003            last10 mAP=43.31 (6.0 min)
[flair flair s0] FocalBCE@lr0.003       last10 mAP=40.11 (6.0 min)
[flair flair s1] FedAvg@lr0.003         last10 mAP=41.70 (6.1 min)
[flair flair s1] BalBCE@lr0.003         last10 mAP=45.06 (8.4 min)
[flair flair s1] FedNTD-BCE@lr0.003     last10 mAP=45.33 (9.1 min)
[flair flair s1] FedNTD@lr0.003         last10 mAP=30.41 (8.6 min)
[flair flair s1] FedMLP@lr0.003         last10 mAP=41.18 (8.4 min)
[flair flair s1] FedPrior@lr0.003       last10 mAP=41.47 (8.6 min)
[flair flair s1] FedND-std@lr0.003      last10 mAP=41.28 (10.4 min)
[flair flair s1] FLAG@lr0.003           last10 mAP=41.97 (6.6 min)
[flair flair s1] ASL@lr0.003            last10 mAP=45.41 (6.6 min)
[flair flair s1] FocalBCE@lr0.003       last10 mAP=44.15 (6.5 min)
[flair flair s2] FedAvg@lr0.003         last10 mAP=37.57 (6.0 min)
[flair flair s2] BalBCE@lr0.003         last10 mAP=43.59 (9.9 min)
[flair flair s2] FedNTD-BCE@lr0.003     last10 mAP=43.11 (9.4 min)
[flair flair s2] FedNTD@lr0.003         last10 mAP=23.22 (9.2 min)
[flair flair s2] FedMLP@lr0.003         last10 mAP=37.59 (9.3 min)
[flair flair s2] FedPrior@lr0.003       last10 mAP=37.05 (9.3 min)
[flair flair s2] FedND-std@lr0.003      last10 mAP=37.85 (9.0 min)
[flair flair s2] FLAG@lr0.003           last10 mAP=36.95 (5.9 min)
[flair flair s2] ASL@lr0.003            last10 mAP=43.55 (5.9 min)
[flair flair s2] FocalBCE@lr0.003       last10 mAP=41.63 (5.8 min)
REVISION_GROUP_DONE flair
