[losses_ref voc0.1 s0] FedAvg@lr0.001         last10 mAP=53.48 (7.2 min)
[losses_ref voc0.1 s0] BalBCE@lr0.001         last10 mAP=65.73 (9.9 min)
[losses_ref voc0.1 s0] FedAvg@lr0.01          last10 mAP=67.85 (6.9 min)
[losses_ref voc0.1 s0] BalBCE@lr0.01          last10 mAP=70.24 (9.8 min)
[losses_ref voc0.1 s1] FedAvg@lr0.001         last10 mAP=52.00 (6.6 min)
[losses_ref voc0.1 s1] BalBCE@lr0.001         last10 mAP=65.40 (9.7 min)
[losses_ref voc0.1 s1] FedAvg@lr0.01          last10 mAP=66.77 (6.5 min)
[losses_ref voc0.1 s1] BalBCE@lr0.01          last10 mAP=70.23 (9.1 min)
[losses_ref voc0.1 s2] FedAvg@lr0.001         last10 mAP=47.97 (6.5 min)
[losses_ref voc0.1 s2] BalBCE@lr0.001         last10 mAP=64.35 (9.1 min)
[losses_ref voc0.1 s2] FedAvg@lr0.01          last10 mAP=65.79 (6.6 min)
[losses_ref voc0.1 s2] BalBCE@lr0.01          last10 mAP=69.83 (8.8 min)
[losses_ref coco0.1 s0] FedAvg@lr0.001         last10 mAP= 8.79 (5.6 min)
[losses_ref coco0.1 s0] BalBCE@lr0.001         last10 mAP=27.13 (8.2 min)
[losses_ref coco0.1 s0] FedAvg@lr0.01          last10 mAP=21.91 (5.1 min)
[losses_ref coco0.1 s0] BalBCE@lr0.01          last10 mAP=40.82 (7.5 min)
[losses_ref coco0.1 s1] FedAvg@lr0.001         last10 mAP= 7.47 (5.3 min)
[losses_ref coco0.1 s1] BalBCE@lr0.001         last10 mAP=24.77 (7.4 min)
[losses_ref coco0.1 s1] FedAvg@lr0.01          last10 mAP=19.32 (5.1 min)
[losses_ref coco0.1 s1] BalBCE@lr0.01          last10 mAP=40.71 (7.5 min)
[losses_ref coco0.1 s2] FedAvg@lr0.001         last10 mAP= 7.93 (5.5 min)
[losses_ref coco0.1 s2] BalBCE@lr0.001         last10 mAP=27.38 (7.8 min)
[losses_ref coco0.1 s2] FedAvg@lr0.01          last10 mAP=25.36 (5.4 min)
[losses_ref coco0.1 s2] BalBCE@lr0.01          last10 mAP=41.36 (7.5 min)
[losses_ref voc0.5 s0] FedAvg@lr0.001         last10 mAP=51.47 (6.5 min)
[losses_ref voc0.5 s0] BalBCE@lr0.001         last10 mAP=67.95 (8.8 min)
[losses_ref voc0.5 s0] FedAvg@lr0.01          last10 mAP=67.19 (6.2 min)
[losses_ref voc0.5 s0] BalBCE@lr0.01          last10 mAP=73.60 (8.9 min)
[losses_ref voc0.5 s1] FedAvg@lr0.001         last10 mAP=46.19 (6.3 min)
[losses_ref voc0.5 s1] BalBCE@lr0.001         last10 mAP=66.20 (8.7 min)
[losses_ref voc0.5 s1] FedAvg@lr0.01          last10 mAP=65.47 (6.2 min)
[losses_ref voc0.5 s1] BalBCE@lr0.01          last10 mAP=73.08 (8.4 min)
[losses_ref voc0.5 s2] FedAvg@lr0.001         last10 mAP=47.34 (6.2 min)
[losses_ref voc0.5 s2] BalBCE@lr0.001         last10 mAP=67.17 (9.1 min)
[losses_ref voc0.5 s2] FedAvg@lr0.01          last10 mAP=68.38 (6.6 min)
[losses_ref voc0.5 s2] BalBCE@lr0.01          last10 mAP=73.15 (8.4 min)
[losses_ref coco0.5 s0] FedAvg@lr0.001         last10 mAP= 8.06 (5.2 min)
[losses_ref coco0.5 s0] BalBCE@lr0.001         last10 mAP=27.34 (7.6 min)
[losses_ref coco0.5 s0] FedAvg@lr0.01          last10 mAP=21.55 (5.5 min)
[losses_ref coco0.5 s0] BalBCE@lr0.01          last10 mAP=42.43 (7.7 min)
[losses_ref coco0.5 s1] FedAvg@lr0.001         last10 mAP= 7.40 (5.4 min)
[losses_ref coco0.5 s1] BalBCE@lr0.001         last10 mAP=24.66 (7.8 min)
[losses_ref coco0.5 s1] FedAvg@lr0.01          last10 mAP=20.03 (5.4 min)
[losses_ref coco0.5 s1] BalBCE@lr0.01          last10 mAP=41.38 (7.9 min)
[losses_ref coco0.5 s2] FedAvg@lr0.001         last10 mAP= 6.99 (5.5 min)
[losses_ref coco0.5 s2] BalBCE@lr0.001         last10 mAP=24.78 (7.7 min)
[losses_ref coco0.5 s2] FedAvg@lr0.01          last10 mAP=21.90 (5.3 min)
[losses_ref coco0.5 s2] BalBCE@lr0.01          last10 mAP=42.11 (7.9 min)
REVISION_GROUP_DONE losses_ref
