[losses_m voc0.1 s0] FocalBCE-m@lr0.003     last10 mAP=53.59 (5.5 min)
[losses_m voc0.1 s0] ASL-m@lr0.003          last10 mAP=53.44 (5.5 min)
[losses_m voc0.1 s0] DBLoss-m@lr0.003       last10 mAP=40.38 (5.6 min)
[losses_m voc0.1 s0] FocalBCE-m@lr0.01      last10 mAP=62.40 (5.6 min)
[losses_m voc0.1 s0] ASL-m@lr0.01           last10 mAP=65.08 (5.7 min)
[losses_m voc0.1 s0] DBLoss-m@lr0.01        last10 mAP=49.91 (5.5 min)
[losses_m voc0.1 s0] FocalBCE-m@lr0.001     last10 mAP=39.59 (5.4 min)
[losses_m voc0.1 s0] ASL-m@lr0.001          last10 mAP=36.92 (5.5 min)
[losses_m voc0.1 s0] DBLoss-m@lr0.001       last10 mAP=27.04 (5.3 min)
[losses_m voc0.1 s1] FocalBCE-m@lr0.003     last10 mAP=45.16 (5.0 min)
[losses_m voc0.1 s1] ASL-m@lr0.003          last10 mAP=48.86 (5.0 min)
[losses_m voc0.1 s1] DBLoss-m@lr0.003       last10 mAP=29.00 (5.2 min)
[losses_m voc0.1 s1] FocalBCE-m@lr0.01      last10 mAP=53.36 (5.0 min)
[losses_m voc0.1 s1] ASL-m@lr0.01           last10 mAP=61.38 (4.8 min)
[losses_m voc0.1 s1] DBLoss-m@lr0.01        last10 mAP=37.64 (4.9 min)
[losses_m voc0.1 s1] FocalBCE-m@lr0.001     last10 mAP=31.21 (4.8 min)
[losses_m voc0.1 s1] ASL-m@lr0.001          last10 mAP=28.35 (4.9 min)
[losses_m voc0.1 s1] DBLoss-m@lr0.001       last10 mAP=17.62 (5.0 min)
[losses_m voc0.1 s2] FocalBCE-m@lr0.003     last10 mAP=46.04 (4.9 min)
[losses_m voc0.1 s2] ASL-m@lr0.003          last10 mAP=48.63 (5.0 min)
[losses_m voc0.1 s2] DBLoss-m@lr0.003       last10 mAP=34.29 (5.3 min)
[losses_m voc0.1 s2] FocalBCE-m@lr0.01      last10 mAP=55.46 (5.2 min)
[losses_m voc0.1 s2] ASL-m@lr0.01           last10 mAP=61.13 (5.3 min)
[losses_m voc0.1 s2] DBLoss-m@lr0.01        last10 mAP=41.14 (5.3 min)
[losses_m voc0.1 s2] FocalBCE-m@lr0.001     last10 mAP=35.12 (5.2 min)
[losses_m voc0.1 s2] ASL-m@lr0.001          last10 mAP=33.06 (4.8 min)
[losses_m voc0.1 s2] DBLoss-m@lr0.001       last10 mAP=22.37 (3.6 min)
[losses_m coco0.1 s0] FocalBCE-m@lr0.003     last10 mAP= 8.29 (3.1 min)
[losses_m coco0.1 s0] ASL-m@lr0.003          last10 mAP= 5.62 (3.1 min)
[losses_m coco0.1 s0] DBLoss-m@lr0.003       last10 mAP= 5.15 (3.1 min)
[losses_m coco0.1 s0] FocalBCE-m@lr0.01      last10 mAP=13.19 (3.1 min)
[losses_m coco0.1 s0] ASL-m@lr0.01           last10 mAP= 8.56 (3.1 min)
[losses_m coco0.1 s0] DBLoss-m@lr0.01        last10 mAP= 6.61 (3.1 min)
[losses_m coco0.1 s0] FocalBCE-m@lr0.001     last10 mAP= 5.72 (2.6 min)
[losses_m coco0.1 s0] ASL-m@lr0.001          last10 mAP= 4.76 (2.5 min)
[losses_m coco0.1 s0] DBLoss-m@lr0.001       last10 mAP= 4.69 (2.5 min)
[losses_m coco0.1 s1] FocalBCE-m@lr0.003     last10 mAP= 7.00 (2.5 min)
[losses_m coco0.1 s1] ASL-m@lr0.003          last10 mAP= 5.34 (2.5 min)
[losses_m coco0.1 s1] DBLoss-m@lr0.003       last10 mAP= 5.00 (2.5 min)
[losses_m coco0.1 s1] FocalBCE-m@lr0.01      last10 mAP=12.21 (1.9 min)
[losses_m coco0.1 s1] ASL-m@lr0.01           last10 mAP= 8.48 (2.0 min)
[losses_m coco0.1 s1] DBLoss-m@lr0.01        last10 mAP= 6.53 (1.9 min)
[losses_m coco0.1 s1] FocalBCE-m@lr0.001     last10 mAP= 5.37 (1.9 min)
[losses_m coco0.1 s1] ASL-m@lr0.001          last10 mAP= 4.67 (1.9 min)
[losses_m coco0.1 s1] DBLoss-m@lr0.001       last10 mAP= 4.47 (1.9 min)
[losses_m coco0.1 s2] FocalBCE-m@lr0.003     last10 mAP= 7.30 (3.2 min)
[losses_m coco0.1 s2] ASL-m@lr0.003          last10 mAP= 6.00 (5.2 min)
[losses_m coco0.1 s2] DBLoss-m@lr0.003       last10 mAP= 5.16 (5.2 min)
[losses_m coco0.1 s2] FocalBCE-m@lr0.01      last10 mAP=13.55 (5.1 min)
[losses_m coco0.1 s2] ASL-m@lr0.01           last10 mAP=10.34 (4.9 min)
[losses_m coco0.1 s2] DBLoss-m@lr0.01        last10 mAP= 6.97 (5.0 min)
[losses_m coco0.1 s2] FocalBCE-m@lr0.001     last10 mAP= 5.60 (5.0 min)
[losses_m coco0.1 s2] ASL-m@lr0.001          last10 mAP= 4.82 (4.8 min)
[losses_m coco0.1 s2] DBLoss-m@lr0.001       last10 mAP= 4.81 (5.0 min)
[losses_m coco0.5 s0] ASL-m@lr0.01           last10 mAP= 7.68 (5.2 min)
[losses_m coco0.5 s0] DBLoss-m@lr0.01        last10 mAP= 6.10 (5.1 min)
[losses_m coco0.5 s0] FocalBCE-m@lr0.001     last10 mAP= 5.51 (4.8 min)
[losses_m coco0.5 s0] ASL-m@lr0.001          last10 mAP= 4.75 (4.8 min)
[losses_m coco0.5 s0] DBLoss-m@lr0.001       last10 mAP= 4.67 (4.8 min)
[losses_m coco0.5 s1] FocalBCE-m@lr0.003     last10 mAP= 6.98 (4.6 min)
[losses_m coco0.5 s1] ASL-m@lr0.003          last10 mAP= 5.12 (4.7 min)
[losses_m coco0.5 s1] DBLoss-m@lr0.003       last10 mAP= 4.91 (4.8 min)
[losses_m coco0.5 s1] FocalBCE-m@lr0.01      last10 mAP=12.33 (4.8 min)
[losses_m coco0.5 s1] ASL-m@lr0.01           last10 mAP= 7.77 (4.7 min)
[losses_m coco0.5 s1] DBLoss-m@lr0.01        last10 mAP= 6.53 (4.7 min)
[losses_m coco0.5 s1] FocalBCE-m@lr0.001     last10 mAP= 5.36 (4.9 min)
[losses_m coco0.5 s1] ASL-m@lr0.001          last10 mAP= 4.74 (4.6 min)
[losses_m coco0.5 s1] DBLoss-m@lr0.001       last10 mAP= 4.57 (4.6 min)
[losses_m coco0.5 s2] FocalBCE-m@lr0.003     last10 mAP= 6.43 (4.7 min)
[losses_m coco0.5 s2] ASL-m@lr0.003          last10 mAP= 5.54 (4.8 min)
[losses_m coco0.5 s2] DBLoss-m@lr0.003       last10 mAP= 4.97 (4.7 min)
