[distill_m voc0.1 s0] Focal-m+ND@lr0.003     last10 mAP=51.84 (7.7 min)
[distill_m voc0.1 s0] ASL-m+ND@lr0.003       last10 mAP=51.46 (7.9 min)
[distill_m voc0.1 s1] Focal-m+ND@lr0.003     last10 mAP=51.97 (7.5 min)
[distill_m voc0.1 s1] ASL-m+ND@lr0.003       last10 mAP=51.14 (7.6 min)
[distill_m voc0.1 s2] Focal-m+ND@lr0.003     last10 mAP=50.08 (7.3 min)
[distill_m voc0.1 s2] ASL-m+ND@lr0.003       last10 mAP=50.20 (7.3 min)
[distill_m coco0.1 s0] Focal-m+ND@lr0.003     last10 mAP= 7.90 (6.5 min)
[distill_m coco0.1 s0] ASL-m+ND@lr0.003       last10 mAP= 6.11 (6.3 min)
[distill_m coco0.1 s1] Focal-m+ND@lr0.003     last10 mAP= 6.80 (6.8 min)
[distill_m coco0.1 s1] ASL-m+ND@lr0.003       last10 mAP= 5.41 (6.5 min)
[distill_m coco0.1 s2] Focal-m+ND@lr0.003     last10 mAP= 7.11 (6.2 min)
[distill_m coco0.1 s2] ASL-m+ND@lr0.003       last10 mAP= 6.09 (6.2 min)
[distill_m voc0.5 s0] Focal-m+ND@lr0.003     last10 mAP=50.67 (7.0 min)
[distill_m voc0.5 s0] ASL-m+ND@lr0.003       last10 mAP=49.95 (7.1 min)
[distill_m voc0.5 s1] Focal-m+ND@lr0.003     last10 mAP=45.66 (7.2 min)
[distill_m voc0.5 s1] ASL-m+ND@lr0.003       last10 mAP=44.60 (7.6 min)
[distill_m voc0.5 s2] Focal-m+ND@lr0.003     last10 mAP=47.54 (7.5 min)
[distill_m voc0.5 s2] ASL-m+ND@lr0.003       last10 mAP=45.96 (7.5 min)
[distill_m coco0.5 s0] Focal-m+ND@lr0.003     last10 mAP= 7.47 (6.2 min)
[distill_m coco0.5 s0] ASL-m+ND@lr0.003       last10 mAP= 5.65 (4.5 min)
[distill_m coco0.5 s1] Focal-m+ND@lr0.003     last10 mAP= 6.77 (4.4 min)
[distill_m coco0.5 s1] ASL-m+ND@lr0.003       last10 mAP= 5.33 (4.4 min)
[distill_m coco0.5 s2] Focal-m+ND@lr0.003     last10 mAP= 6.31 (4.4 min)
[distill_m coco0.5 s2] ASL-m+ND@lr0.003       last10 mAP= 5.57 (4.5 min)
REVISION_GROUP_DONE distill_m
