[losses_m voc0.5 s0] FocalBCE-m@lr0.003     last10 mAP=50.96 (5.4 min)
[losses_m voc0.5 s0] ASL-m@lr0.003          last10 mAP=48.76 (5.6 min)
[losses_m voc0.5 s0] DBLoss-m@lr0.003       last10 mAP=35.17 (5.5 min)
[losses_m voc0.5 s0] FocalBCE-m@lr0.01      last10 mAP=59.86 (5.6 min)
[losses_m voc0.5 s0] ASL-m@lr0.01           last10 mAP=64.62 (5.6 min)
[losses_m voc0.5 s0] DBLoss-m@lr0.01        last10 mAP=43.26 (5.5 min)
[losses_m voc0.5 s0] FocalBCE-m@lr0.001     last10 mAP=35.93 (4.1 min)
[losses_m voc0.5 s0] ASL-m@lr0.001          last10 mAP=28.84 (3.7 min)
[losses_m voc0.5 s0] DBLoss-m@lr0.001       last10 mAP=21.94 (3.7 min)
[losses_m voc0.5 s1] FocalBCE-m@lr0.003     last10 mAP=39.76 (3.6 min)
[losses_m voc0.5 s1] ASL-m@lr0.003          last10 mAP=38.69 (3.6 min)
[losses_m voc0.5 s1] DBLoss-m@lr0.003       last10 mAP=23.65 (3.6 min)
[losses_m voc0.5 s1] FocalBCE-m@lr0.01      last10 mAP=48.66 (3.2 min)
[losses_m voc0.5 s1] ASL-m@lr0.01           last10 mAP=56.17 (2.9 min)
[losses_m voc0.5 s1] DBLoss-m@lr0.01        last10 mAP=33.80 (2.9 min)
[losses_m voc0.5 s1] FocalBCE-m@lr0.001     last10 mAP=24.02 (2.8 min)
[losses_m voc0.5 s1] ASL-m@lr0.001          last10 mAP=19.35 (2.9 min)
[losses_m voc0.5 s1] DBLoss-m@lr0.001       last10 mAP=15.07 (2.6 min)
[losses_m voc0.5 s2] FocalBCE-m@lr0.003     last10 mAP=45.10 (2.2 min)
[losses_m voc0.5 s2] ASL-m@lr0.003          last10 mAP=43.92 (2.2 min)
[losses_m voc0.5 s2] DBLoss-m@lr0.003       last10 mAP=30.36 (2.2 min)
[losses_m voc0.5 s2] FocalBCE-m@lr0.01      last10 mAP=56.77 (2.2 min)
[losses_m voc0.5 s2] ASL-m@lr0.01           last10 mAP=61.55 (2.2 min)
[losses_m voc0.5 s2] DBLoss-m@lr0.01        last10 mAP=42.33 (4.2 min)
[losses_m voc0.5 s2] FocalBCE-m@lr0.001     last10 mAP=30.13 (6.0 min)
[losses_m voc0.5 s2] ASL-m@lr0.001          last10 mAP=23.59 (5.8 min)
[losses_m voc0.5 s2] DBLoss-m@lr0.001       last10 mAP=18.10 (5.7 min)
[losses_m coco0.5 s0] FocalBCE-m@lr0.003     last10 mAP= 7.33 (5.1 min)
[losses_m coco0.5 s0] ASL-m@lr0.003          last10 mAP= 5.34 (5.1 min)
[losses_m coco0.5 s0] DBLoss-m@lr0.003       last10 mAP= 4.95 (4.9 min)
[losses_m coco0.5 s0] FocalBCE-m@lr0.01      last10 mAP=12.85 (5.0 min)
[losses_m coco0.5 s0] ASL-m@lr0.01           last10 mAP= 7.66 (5.1 min)
[losses_m coco0.5 s0] DBLoss-m@lr0.01        last10 mAP= 6.10 (5.2 min)
[losses_m coco0.5 s0] FocalBCE-m@lr0.001     last10 mAP= 5.50 (4.8 min)
[losses_m coco0.5 s0] ASL-m@lr0.001          last10 mAP= 4.75 (4.8 min)
[losses_m coco0.5 s0] DBLoss-m@lr0.001       last10 mAP= 4.67 (4.8 min)
[losses_m coco0.5 s1] FocalBCE-m@lr0.003     last10 mAP= 6.98 (4.6 min)
[losses_m coco0.5 s1] ASL-m@lr0.003          last10 mAP= 5.12 (4.7 min)
[losses_m coco0.5 s1] DBLoss-m@lr0.003       last10 mAP= 4.91 (4.8 min)
[losses_m coco0.5 s1] FocalBCE-m@lr0.01      last10 mAP=12.34 (4.8 min)
[losses_m coco0.5 s1] ASL-m@lr0.01           last10 mAP= 7.77 (4.7 min)
[losses_m coco0.5 s1] DBLoss-m@lr0.01        last10 mAP= 6.54 (4.7 min)
[losses_m coco0.5 s1] FocalBCE-m@lr0.001     last10 mAP= 5.36 (4.9 min)
[losses_m coco0.5 s1] ASL-m@lr0.001          last10 mAP= 4.74 (4.7 min)
[losses_m coco0.5 s1] DBLoss-m@lr0.001       last10 mAP= 4.57 (4.6 min)
[losses_m coco0.5 s2] FocalBCE-m@lr0.003     last10 mAP= 6.42 (4.7 min)
[losses_m coco0.5 s2] ASL-m@lr0.003          last10 mAP= 5.54 (4.8 min)
[losses_m coco0.5 s2] DBLoss-m@lr0.003       last10 mAP= 4.97 (4.7 min)
[losses_m coco0.5 s2] FocalBCE-m@lr0.01      last10 mAP=11.68 (4.7 min)
[losses_m coco0.5 s2] ASL-m@lr0.01           last10 mAP= 7.94 (4.7 min)
[losses_m coco0.5 s2] DBLoss-m@lr0.01        last10 mAP= 5.74 (4.8 min)
[losses_m coco0.5 s2] FocalBCE-m@lr0.001     last10 mAP= 5.27 (4.7 min)
[losses_m coco0.5 s2] ASL-m@lr0.001          last10 mAP= 4.69 (4.6 min)
[losses_m coco0.5 s2] DBLoss-m@lr0.001       last10 mAP= 4.63 (4.6 min)
REVISION_GROUP_DONE losses_m
